State,Borehole Name,Borehole URI,Latitude,Longitude,Start Depth,EndDepth,File Modified Date,Download Link
SA,PADD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/186197,-34.7166324,139.3868156,73.4,101.45,6/23/2022 4:57:16 AM,https://nvclstore.z8.web.core.windows.net/SA/186197_PADD2.zip
SA,IRD224,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/270295,-33.2423762,135.6691661,56.3,318.41,6/23/2022 4:57:10 AM,https://nvclstore.z8.web.core.windows.net/SA/270295_IRD224.zip
SA,PARALANA PLAINS 186 72A,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/179456,-30.1561255,139.6062712,106.6,149,8/19/2022 4:10:48 AM,https://nvclstore.z8.web.core.windows.net/SA/179456_BEV_186_72A.zip
SA,SASC 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/20728,-31.2019843,137.4231196,464.2,1250,6/23/2022 4:56:06 AM,https://nvclstore.z8.web.core.windows.net/SA/20728_SASC4.zip
SA,K 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238001,-34.3470314,138.9186529,15.2,76.2,6/23/2022 4:55:13 AM,https://nvclstore.z8.web.core.windows.net/SA/238001_K3.zip
SA,SADME   (CP 3),https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/6909,-28.8632401,134.6207616,6,97,6/23/2022 5:06:24 AM,https://nvclstore.z8.web.core.windows.net/SA/6909_CP03.zip
SA,MJ 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/149014,-30.7096083,138.1365836,0,481.5,6/23/2022 4:59:17 AM,https://nvclstore.z8.web.core.windows.net/SA/149014_MJ1.zip
SA,DDH 251,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141129,-34.0559863,137.6135113,21,75,6/23/2022 4:59:07 AM,https://nvclstore.z8.web.core.windows.net/SA/141129_WH_DDH251.zip
SA,TC 54,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/136590,-30.6069881,134.0341757,3,50.1,1/23/2023 2:33:33 AM,https://nvclstore.z8.web.core.windows.net/SA/136590_TC54.zip
SA,MSDP12,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/288778,-32.6748562,135.6624421,0,459.93,6/23/2022 5:05:12 AM,https://nvclstore.z8.web.core.windows.net/SA/288778_MSDP12.zip
SA,DD86EN 31,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/138128,-29.4136632,135.1358485,37.2,179.8,6/23/2022 4:54:29 AM,https://nvclstore.z8.web.core.windows.net/SA/138128_DD86EN31.zip
SA,BGRC-0861,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/205188,-32.8531601,135.5031441,0,165,6/23/2022 5:03:41 AM,https://nvclstore.z8.web.core.windows.net/SA/205188_BGRC-861.zip
SA,VP05-003,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/214884,-32.6968773,136.2882049,92,241.95,6/23/2022 5:06:49 AM,https://nvclstore.z8.web.core.windows.net/SA/214884_VP05_003.zip
SA,GIDGEALPA 26,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/88061,-28.0196046,139.9919015,0,1901.9,6/23/2022 5:04:17 AM,https://nvclstore.z8.web.core.windows.net/SA/88061_Gidgealpa_26.zip
SA,TPS 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/3525,-29.5178701,133.8769128,0,31.2,6/23/2022 5:05:29 AM,https://nvclstore.z8.web.core.windows.net/SA/3525_TALL_TPS1.zip
SA,MTR 10,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/174046,-36.2722145,139.8851233,60.1,167.4,6/23/2022 5:01:06 AM,https://nvclstore.z8.web.core.windows.net/SA/174046_MTR-10.zip
SA,BGDDH 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/186232,-30.7677941,134.4639436,35,120.7,6/23/2022 4:54:34 AM,https://nvclstore.z8.web.core.windows.net/SA/186232_BGDDH4.zip
SA,KD 31,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/207463,-34.2976424,138.9694238,100,233.7,6/23/2022 5:06:39 AM,https://nvclstore.z8.web.core.windows.net/SA/207463_KD31_Kapunda.zip
SA,GHDD2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/253552,-31.5645843,137.4904146,395.7,1069,6/23/2022 5:01:56 AM,https://nvclstore.z8.web.core.windows.net/SA/253552_GHDD2.zip
SA,MSDP05,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/288771,-32.3946981,135.3894822,0,569.3,6/23/2022 5:04:40 AM,https://nvclstore.z8.web.core.windows.net/SA/288771_MSDP05.zip
SA,97CHDH1337,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/226693,-29.8814721,133.5955129,158.3,222.18,6/23/2022 5:06:29 AM,https://nvclstore.z8.web.core.windows.net/SA/226693_97CHDH1337.zip
